streamer,twitch_profile,partner,language
orangemorange,https://www.twitch.tv/orangemorange,yes,German
unsympathisch_tv,https://www.twitch.tv/unsympathisch_tv,yes,German
cherrypach,https://www.twitch.tv/cherrypach,yes,Korean
yd0821,https://www.twitch.tv/yd0821,yes,Korean
silphtv,https://www.twitch.tv/silphtv,yes,Korean
patopapao,https://www.twitch.tv/patopapao,yes,Portuguese
moonryde,https://www.twitch.tv/moonryde,yes,Italian
boxbox,https://www.twitch.tv/boxbox,yes,English
worldoftanks,https://www.twitch.tv/worldoftanks,yes,English
piazztwitch,https://www.twitch.tv/piazztwitch,yes,Italian
vaporadark,https://www.twitch.tv/vaporadark,yes,English
kaellyn,https://www.twitch.tv/kaellyn,yes,English
ifrostbolt,https://www.twitch.tv/ifrostbolt,yes,English
